dose	dose_unit	IRS_per_vol	adp	atp	atp_adp	atp_ratio	dhap	f26bp	f6p	fbp	fbp_dhap_grap	g6p	glc	grap	lac	nad	nadh	nadh_nad	nadh_ratio	pep	pg2	pg3	phos	pyr	unit	measurement	species	study	experiment
1.0	mM 	0.002081364782439125																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
5.0	mM 	0.0030724908693148985																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
7.0	mM 	0.007334333042882412																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
9.0	mM 	0.009217472607946383																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
11.0	mM 	0.013776652607576628																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
16.7	mM 	0.016155355216079328																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
30.0	mM 	0.017443819129017834																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
																													
1.0	mM 	0.0010087683580836018																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
5.0	mM 	0.0013870564923651038																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
7.0	mM 	0.002395824850449109																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
9.0	mM 	0.003404593208533115																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
11.0	mM 	0.008700627088473337																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
16.7	mM 	0.014753237236976564																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
30.0	mM 	0.023706056414971307																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
																													
0.0	mM 	0.0																							mM/min	rate	rat	Ammon1998_Ess8	Experiment2
2.8	mM 	0.006523160974148505																							mM/min	rate	rat	Ammon1998_Ess8	Experiment2
8.3	mM 	0.011844013847179353																							mM/min	rate	rat	Ammon1998_Ess8	Experiment2
11.1	mM 	0.013097483995153099																							mM/min	rate	rat	Ammon1998_Ess8	Experiment2
16.7	mM 	0.01238121533916807																							mM/min	rate	rat	Ammon1998_Ess8	Experiment2
28.0	mM 	0.011460298495758905																							mM/min	rate	rat	Ammon1998_Ess8	Experiment2
																													
2.8	mM 	0.0020691040575734577																							mM/min	rate	rat	Ammon1998_Ess9	Experiment3
8.3	mM 	0.0065093356019600805																							mM/min	rate	rat	Ammon1998_Ess9	Experiment3
11.1	mM 	0.01192797691671472																							mM/min	rate	rat	Ammon1998_Ess9	Experiment3
16.7	mM 	0.01617335463578539																							mM/min	rate	rat	Ammon1998_Ess9	Experiment3
28.0	mM 	0.018314798176007736																							mM/min	rate	rat	Ammon1998_Ess9	Experiment3
																													
0.0	mM 	0.00041393366136129495																							mM/min 	rate	mouse	Ashcroft1973_Ess24	Experiment4
5.0	mM 	0.0025225032226862355																							mM/min 	rate	mouse	Ashcroft1973_Ess24	Experiment4
20.0	mM 	0.019693760100008676																							mM/min 	rate	mouse	Ashcroft1973_Ess24	Experiment4
																													
0.0	mM 	0.0014884635558842414																							mM/min	rate	mouse	Detimary1996_Ess29	Experiment5
3.0	mM 	0.0014758565805379409																							mM/min	rate	mouse	Detimary1996_Ess29	Experiment5
6.0	mM 	0.0016384265292890597																							mM/min	rate	mouse	Detimary1996_Ess29	Experiment5
10.0	mM 	0.0049604245662500735																							mM/min	rate	mouse	Detimary1996_Ess29	Experiment5
15.0	mM 	0.013550937633637822																							mM/min	rate	mouse	Detimary1996_Ess29	Experiment5
20.0	mM 	0.021175876455932503																							mM/min	rate	mouse	Detimary1996_Ess29	Experiment5
																													
0.0	mM 	0.005632042846715493																							mM/min	rate	mouse	Detimary1996_Ess34	Experiment6
3.0	mM 	0.005970734835164704																							mM/min	rate	mouse	Detimary1996_Ess34	Experiment6
6.0	mM 	0.006580878986228289																							mM/min	rate	mouse	Detimary1996_Ess34	Experiment6
10.0	mM 	0.009985990005966764																							mM/min	rate	mouse	Detimary1996_Ess34	Experiment6
15.0	mM 	0.013543637063471156																							mM/min	rate	mouse	Detimary1996_Ess34	Experiment6
20.0	mM 	0.014379486040734253																							mM/min	rate	mouse	Detimary1996_Ess34	Experiment6
																													
2.0	mM 	0.002246031398504815																							mM/min	rate	rat	Ewart1983_Ess49	Experiment7
20.0	mM 	0.018249005112851623																							mM/min	rate	rat	Ewart1983_Ess49	Experiment7
																													
1.0	mM 	0.000772897917305089																							mM/min 	rate	cell line	Guay2013_Ess55	Experiment8
5.0	mM 	0.004895020142931876																							mM/min 	rate	cell line	Guay2013_Ess55	Experiment8
10.0	mM 	0.010906448388638329																							mM/min 	rate	cell line	Guay2013_Ess55	Experiment8
																													
3.0	mM 	0.0043372391722085795																							mM/min	rate	rat	Hedeskov1987_Ess69	Experiment9
7.0	mM 	0.008633171304681839																							mM/min	rate	rat	Hedeskov1987_Ess69	Experiment9
20.0	mM 	0.016027131417304087																							mM/min	rate	rat	Hedeskov1987_Ess69	Experiment9
																													
1.0	mM 	0.0022879368404658995																							mM/min 	rate	mouse	Johnson2007_Ess77	Experiment10
3.0	mM 	0.003454336014036757																							mM/min 	rate	mouse	Johnson2007_Ess77	Experiment10
5.0	mM 	0.002826274920575553																							mM/min 	rate	mouse	Johnson2007_Ess77	Experiment10
10.0	mM 	0.009869531468676548																							mM/min 	rate	mouse	Johnson2007_Ess77	Experiment10
20.0	mM 	0.018348356230403207																							mM/min 	rate	mouse	Johnson2007_Ess77	Experiment10
																													
3.0	mM 	0.0014122894422895246																							mM/min 	rate	human	Johnson2007_Ess78	Experiment11
5.0	mM 	0.0025810807048739586																							mM/min 	rate	human	Johnson2007_Ess78	Experiment11
8.0	mM 	0.003214175972107223																							mM/min 	rate	human	Johnson2007_Ess78	Experiment11
10.0	mM 	0.010275623183554931																							mM/min 	rate	human	Johnson2007_Ess78	Experiment11
20.0	mM 	0.018700660201351176																							mM/min 	rate	human	Johnson2007_Ess78	Experiment11
																													
1.0	mM 	0.0031974883086472524																							mM/min 	rate	rat	Johnson2007_Ess79	Experiment12
2.0	mM 	0.0034127038678831243																							mM/min 	rate	rat	Johnson2007_Ess79	Experiment12
3.0	mM 	0.0035664292673373153																							mM/min 	rate	rat	Johnson2007_Ess79	Experiment12
5.0	mM 	0.0044580365841716384																							mM/min 	rate	rat	Johnson2007_Ess79	Experiment12
8.0	mM 	0.007962975691727237																							mM/min 	rate	rat	Johnson2007_Ess79	Experiment12
11.0	mM 	0.011836855757972947																							mM/min 	rate	rat	Johnson2007_Ess79	Experiment12
15.0	mM 	0.01454242278836682																							mM/min 	rate	rat	Johnson2007_Ess79	Experiment12
20.0	mM 	0.015679990744327823																							mM/min 	rate	rat	Johnson2007_Ess79	Experiment12
																													
0.8	mM 	0.010379753665239848																							mM/min 	rate	cell line	Johnson2007_Ess80	Experiment13
1.0	mM 	0.003942277695409914																							mM/min 	rate	cell line	Johnson2007_Ess80	Experiment13
2.0	mM 	0.0042235091352282325																							mM/min 	rate	cell line	Johnson2007_Ess80	Experiment13
2.8	mM 	0.00457389788620931																							mM/min 	rate	cell line	Johnson2007_Ess80	Experiment13
5.0	mM 	0.005415104532600885																							mM/min 	rate	cell line	Johnson2007_Ess80	Experiment13
8.0	mM 	0.008002284518544768																							mM/min 	rate	cell line	Johnson2007_Ess80	Experiment13
15.0	mM 	0.014155419457228797																							mM/min 	rate	cell line	Johnson2007_Ess80	Experiment13
20.0	mM 	0.016536620113525215																							mM/min 	rate	cell line	Johnson2007_Ess80	Experiment13
40.0	mM 	0.01999174923129192																							mM/min 	rate	cell line	Johnson2007_Ess80	Experiment13
																													
1.0	mM 	0.0010835071028385387																							mM/min	rate	cell line	Lamontagne2009_Ess81	Experiment14
3.0	mM 	0.001045767770282651																							mM/min	rate	cell line	Lamontagne2009_Ess81	Experiment14
4.0	mM 	0.0017367064152999895																							mM/min	rate	cell line	Lamontagne2009_Ess81	Experiment14
5.0	mM 	0.004783409114867427																							mM/min	rate	cell line	Lamontagne2009_Ess81	Experiment14
6.0	mM 	0.006803240303477198																							mM/min	rate	cell line	Lamontagne2009_Ess81	Experiment14
8.0	mM 	0.009211930219865955																							mM/min	rate	cell line	Lamontagne2009_Ess81	Experiment14
10.0	mM 	0.00959707921760085																							mM/min	rate	cell line	Lamontagne2009_Ess81	Experiment14
																													
1.0	mM 	0.0010647020907160827																							mM/min	rate	cell line	Lamontagne2009_Ess84	Experiment15
6.0	mM 	0.007959915630591556																							mM/min	rate	cell line	Lamontagne2009_Ess84	Experiment15
10.0	mM 	0.010748421106275526																							mM/min	rate	cell line	Lamontagne2009_Ess84	Experiment15
16.0	mM 	0.011762423097434367																							mM/min	rate	cell line	Lamontagne2009_Ess84	Experiment15
																													
1.0	mM 	0.0005883609382861393																							mM/min	rate	cell line	Lamontagne2009_Ess85	Experiment16
6.0	mM 	0.009321494926919173																							mM/min	rate	cell line	Lamontagne2009_Ess85	Experiment16
10.0	mM 	0.010196346327211928																							mM/min	rate	cell line	Lamontagne2009_Ess85	Experiment16
16.0	mM 	0.010060338749986011																							mM/min	rate	cell line	Lamontagne2009_Ess85	Experiment16
																													
2.8	mM 	0.005306739315179689																							mM/min 	rate	rat	Liu1998_Ess89	Experiment17
16.7	mM 	0.01395903167688586																							mM/min 	rate	rat	Liu1998_Ess89	Experiment17
																													
2.8	mM 	0.010661474694416738																							mM/min 	rate	rat	Liu2004_Ess111	Experiment18
8.3	mM 	0.006853805160696395																							mM/min 	rate	rat	Liu2004_Ess111	Experiment18
27.7	mM 	0.01941911462197339																							mM/min 	rate	rat	Liu2004_Ess111	Experiment18
																													
5.5	mM 	0.007272669487239822																							mM/min 	rate	rat	Liu2004_Ess112	Experiment19
8.3	mM 	0.011328581316662019																							mM/min 	rate	rat	Liu2004_Ess112	Experiment19
16.7	mM 	0.009650272973452811																							mM/min 	rate	rat	Liu2004_Ess112	Experiment19
																													
2.8	mM 	0.007543469160741756																							mM/min	rate	rat	Liu2004_Ess113	Experiment20
8.3	mM 	0.004281428442583153																							mM/min	rate	rat	Liu2004_Ess113	Experiment20
27.7	mM 	0.024737142112702747																							mM/min	rate	rat	Liu2004_Ess113	Experiment20
																													
5.5	mM 	0.0024235031841993064																							mM/min	rate	rat	Liu2004_Ess114	Experiment21
8.3	mM 	0.012756681595950227																							mM/min	rate	rat	Liu2004_Ess114	Experiment21
16.7	mM 	0.002077288443599409																							mM/min	rate	rat	Liu2004_Ess114	Experiment21
																													
0.0	mM 	0.0019728798685444892																							mM/min 	rate	rat	Meglasson1986_Ess159	Experiment22
5.5	mM 	0.002499275376309356																							mM/min 	rate	rat	Meglasson1986_Ess159	Experiment22
10.0	mM 	0.010132472079373607																							mM/min 	rate	rat	Meglasson1986_Ess159	Experiment22
16.7	mM 	0.016292295043020124																							mM/min 	rate	rat	Meglasson1986_Ess159	Experiment22
																													
0.0	mM 	0.001986961197224177																							mM/min 	rate	rat	Sener1978_Ess174	Experiment23
11.0	mM 	0.011335581211633559																							mM/min 	rate	rat	Sener1978_Ess174	Experiment23
16.7	mM 	0.01592236118686322																							mM/min 	rate	rat	Sener1978_Ess174	Experiment23
27.8	mM 	0.015496499583483122																							mM/min 	rate	rat	Sener1978_Ess174	Experiment23
																													
2.8	mM 	0.000554499537755153																							mM/min	rate	rat	Spegel2015_Ess177	Experiment24
5.6	mM 	0.002226231887117706																							mM/min	rate	rat	Spegel2015_Ess177	Experiment24
8.2	mM 	0.009698678636227186																							mM/min	rate	rat	Spegel2015_Ess177	Experiment24
13.9	mM 	0.014416893341001045																							mM/min	rate	rat	Spegel2015_Ess177	Experiment24
19.4	mM 	0.01638551339303285																							mM/min	rate	rat	Spegel2015_Ess177	Experiment24
28.0	mM 	0.016760195705709503																							mM/min	rate	rat	Spegel2015_Ess177	Experiment24
																													
2.8	mM 	0.003008598067699676																							Mm/min	rate	cell line	Spegel2015_Ess178	Experiment25
5.6	mM 	0.010196740571047722																							Mm/min	rate	cell line	Spegel2015_Ess178	Experiment25
8.2	mM 	0.011609406303749903																							Mm/min	rate	cell line	Spegel2015_Ess178	Experiment25
13.9	mM 	0.015270956112085208																							Mm/min	rate	cell line	Spegel2015_Ess178	Experiment25
16.8	mM 	0.012732730862284191																							Mm/min	rate	cell line	Spegel2015_Ess178	Experiment25
19.4	mM 	0.010193989852814405																							Mm/min	rate	cell line	Spegel2015_Ess178	Experiment25
28.0	mM 	0.009911353554340233																							Mm/min	rate	cell line	Spegel2015_Ess178	Experiment25
																													
2.8	mM 	0.004277975286101847																							mM/min	rate	cell line	Xu2008a_Ess186	Experiment26
5.5	mM 	0.007597243856090375																							mM/min	rate	cell line	Xu2008a_Ess186	Experiment26
16.7	mM 	0.013398596936074772																							mM/min	rate	cell line	Xu2008a_Ess186	Experiment26
																													
2.8	mM 	0.006344767686657133																							mM/min	rate	cell line	Xu2008b_Ess189	Experiment27
16.7	mM 	0.012910864478664711																							mM/min	rate	cell line	Xu2008b_Ess189	Experiment27
																													
3.0	mM 	0.00698978097315608																							mM/min	rate	cell line	Xu2008b_Ess190	Experiment28
30.0	mM 	0.02008175168478213																							mM/min	rate	cell line	Xu2008b_Ess190	Experiment28
																													
3.0	mM 	0.0028299903218261405																							mM/min 	rate	human	Alcazar2019_Etc0	Experiment29
5.0	mM 	0.006059046651878156																							mM/min 	rate	human	Alcazar2019_Etc0	Experiment29
																													
3.0	mM 	0.0014878143597180174																							mM/min 	rate	human	Alcazar2019_Etc1	Experiment30
7.0	mM 	0.008284257691499028																							mM/min 	rate	human	Alcazar2019_Etc1	Experiment30
																													
3.0	mM 	0.0025661295969396656																							mM/min 	rate	human	Alcazar2019_Etc2	Experiment31
9.0	mM 	0.009726465860093413																							mM/min 	rate	human	Alcazar2019_Etc2	Experiment31
																													
3.0	mM 	0.0023092009969229864																							mM/min 	rate	human	Alcazar2019_Etc3	Experiment32
11.0	mM 	0.011853962648841775																							mM/min 	rate	human	Alcazar2019_Etc3	Experiment32
																													
3.0	mM 	0.002534601094395867																							mM/min 	rate	human	Alcazar2019_Etc4	Experiment33
16.7	mM 	0.016019078803293653																							mM/min 	rate	human	Alcazar2019_Etc4	Experiment33
																													
3.0	mM 	0.004071107166158261																							mM/min 	rate	human	Alcazar2019_Etc5	Experiment34
30.0	mM 	0.022899155454365723																							mM/min 	rate	human	Alcazar2019_Etc5	Experiment34
																													
3.0	mM 	0.0049269985446726335																							mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment35
5.0	mM 	0.004346118446546345																							mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment35
																													
3.0	mM 	0.005932217668522574																							mM/min 	rate	mouse	Alcazar2019_Etc7	Experiment36
7.0	mM 	0.005332338708331612																							mM/min 	rate	mouse	Alcazar2019_Etc7	Experiment36
																													
3.0	mM 	0.004904598551530762																							mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment37
9.0	mM 	0.008570564041263738																							mM/min 	rate	mouse	Alcazar2019_Etc8	Experiment37
																													
3.0	mM 	0.002274682368374228																							mM/min 	rate	mouse	Alcazar2019_Etc9	Experiment38
11.0	mM 	0.01187009483551836																							mM/min 	rate	mouse	Alcazar2019_Etc9	Experiment38
																													
3.0	mM 	0.0013635246732952438																							mM/min 	rate	mouse	Alcazar2019_Etc10	Experiment39
16.7	mM 	0.016547781659606218																							mM/min 	rate	mouse	Alcazar2019_Etc10	Experiment39
																													
3.0	mM 	0.0018601789492776277																							mM/min 	rate	mouse	Alcazar2019_Etc11	Experiment40
30.0	mM 	0.024282663508669745																							mM/min 	rate	mouse	Alcazar2019_Etc11	Experiment40
																													
10.0	mM 	0.010208103103141462																							mM/min 	rate	cell line	Brun1996_Etc23	Experiment41
																													
0.0	mM 	0.002031774675383316																							mM/min	rate	cell line	Corkey1989_Etc24	Experiment42
																													
10.0	mM 	0.01020810310314146																							mM/min	rate	cell line	Corkey1989_Etc25	Experiment43
																													
2.8	mM 	0.004016209239761874																							mM/min	rate	cell line	Huang2014_Etc42	Experiment44
																													
2.8	mM 	0.0028965152616034005																							mM/min	rate	cell line	Huang2014_Etc43	Experiment45
16.7	mM 	0.015750085929951158																							mM/min	rate	cell line	Huang2014_Etc43	Experiment45
																													
2.8	mM 	0.0020844605989494515																							dimensionless	fold change	cell line	Spegel2013_Etc62	Experiment46
16.7	mM 	0.016179225206769912																							dimensionless	fold change	cell line	Spegel2013_Etc62	Experiment46
																													
2.8	mM 	0.004903160972236926																							mM/min	rate	rat	Spegel2015_Etc63	Experiment47
16.7	mM 	0.01431723003893206																							mM/min	rate	rat	Spegel2015_Etc63	Experiment47
																													
2.8	mM 	0.010238152183411836																							mM/min	rate	cell line	Spegel2015_Etc64	Experiment48
16.7	mM 	0.004975550593807619																							mM/min	rate	cell line	Spegel2015_Etc64	Experiment48
																													
4.0	mM 	0.0046703759636735585																							pmol/min	rate	rat	Trus1979_Etc97	Experiment49
																													
4.0	mM 	0.0043907766866108																							pmol/min	rate	rat	Trus1979_Etc98	Experiment50
16.0	mM 	0.014972002077909418																							pmol/min	rate	rat	Trus1979_Etc98	Experiment50
																													
2.4	mM 	0.00290015867136446																							mM/min	rate	rat	Trus1980_Etc103	Experiment51
																													
2.4	mM 	0.0009516311995033524																							mM/min	rate	rat	Trus1980_Etc104	Experiment52
14.5	mM 	0.015139587264826112																							mM/min	rate	rat	Trus1980_Etc104	Experiment52
																													
2.4	mM 	0.0029001586713644596																							mM/min	rate	rat	Trus1980_Etc119	Experiment53
																													
2.4	mM 	0.0013370335083058666																							mM/min	rate	rat	Trus1980_Etc120	Experiment54
8.6	mM 	0.009563759779867606																							mM/min	rate	rat	Trus1980_Etc120	Experiment54
																													
0.0	mM 		1.4014343236913558																						mM 	concentration	mouse	Detimary1996_Ess30	Experiment55
3.0	mM 		1.3189970105330409																						mM 	concentration	mouse	Detimary1996_Ess30	Experiment55
6.0	mM 		0.9517762519187283																						mM 	concentration	mouse	Detimary1996_Ess30	Experiment55
10.0	mM 		0.8880746917509394																						mM 	concentration	mouse	Detimary1996_Ess30	Experiment55
15.0	mM 		0.7456829690229406																						mM 	concentration	mouse	Detimary1996_Ess30	Experiment55
20.0	mM 		0.6407627522759942																						mM 	concentration	mouse	Detimary1996_Ess30	Experiment55
																													
0.0	mM 		1.243102061605514																						mM 	concentration	mouse	Detimary1996_Ess35	Experiment56
3.0	mM 		1.1311105552755145																						mM 	concentration	mouse	Detimary1996_Ess35	Experiment56
6.0	mM 		1.2094058259537903																						mM 	concentration	mouse	Detimary1996_Ess35	Experiment56
10.0	mM 		1.0109236561268518																						mM 	concentration	mouse	Detimary1996_Ess35	Experiment56
15.0	mM 		0.8103194649450767																						mM 	concentration	mouse	Detimary1996_Ess35	Experiment56
20.0	mM 		0.6308257275863697																						mM 	concentration	mouse	Detimary1996_Ess35	Experiment56
																													
1.0	mM 		1.4823064200977811																						mM 	concentration	rat	Detimary1998_Ess39	Experiment57
10.0	mM 		0.6986921873016178																						mM 	concentration	rat	Detimary1998_Ess39	Experiment57
20.0	mM 		0.6775743046355335																						mM 	concentration	rat	Detimary1998_Ess39	Experiment57
																													
1.0	mM 		1.4369173019877575																						mM 	concentration	rat	Detimary1998_Ess44	Experiment58
5.0	mM 		1.1284056935966693																						mM 	concentration	rat	Detimary1998_Ess44	Experiment58
10.0	mM 		0.7281773396175939																						mM 	concentration	rat	Detimary1998_Ess44	Experiment58
20.0	mM 		0.7411716262980232																						mM 	concentration	rat	Detimary1998_Ess44	Experiment58
																													
1.0	mM 		0.88180679922189																						mM 	concentration	cell line	Guay2013_Ess57	Experiment59
10.0	mM 		1.3155410378635515																						mM 	concentration	cell line	Guay2013_Ess57	Experiment59
																													
1.0	mM 		0.9883992038924756																						mM 	concentration	cell line	Guay2013_Ess63	Experiment60
10.0	mM 		1.2458279354528954																						mM 	concentration	cell line	Guay2013_Ess63	Experiment60
																													
0.0	mM 		1.3854508207123608																						mM 	concentration	rat	Malaisse1977_Ess119	Experiment61
11.1	mM 		0.7932823247627225																						mM 	concentration	rat	Malaisse1977_Ess119	Experiment61
27.8	mM 		0.7672120136202858																						mM 	concentration	rat	Malaisse1977_Ess119	Experiment61
																													
0.0	mM 		1.2177322311406447																						mM 	concentration	rat	Malaisse1987_Ess130	Experiment62
16.7	mM 		0.8608107151166625																						mM 	concentration	rat	Malaisse1987_Ess130	Experiment62
																													
1.0	mM 		1.273442853054257																						mM 	concentration	mouse	Detimary1996_Etc26	Experiment63
																													
1.0	mM 		1.319489481808396																						mM 	concentration	mouse	Detimary1996_Etc27	Experiment64
10.0	mM 		0.8969757894707993																						mM 	concentration	mouse	Detimary1996_Etc27	Experiment64
																													
1.0	mM 		1.337108882542822																						mM 	concentration	mouse	Detimary1996_Etc34	Experiment65
10.0	mM 		0.8696111558835957																						mM 	concentration	mouse	Detimary1996_Etc34	Experiment65
																													
10.0	mM 		0.969070963629224																						mM 	concentration	mouse	Detimary1996_Etc35	Experiment66
																													
2.4	mM 		1.217756242113766																						mM 	concentration	rat	Trus1980_Etc105	Experiment67
																													
2.4	mM 		1.1369920430049887																						mM 	concentration	rat	Trus1980_Etc106	Experiment68
14.5	mM 		0.9193827657751626																						mM 	concentration	rat	Trus1980_Etc106	Experiment68
																													
2.4	mM 		1.217756242113766																						mM 	concentration	rat	Trus1980_Etc121	Experiment69
																													
2.4	mM 		1.158408869605871																						mM 	concentration	rat	Trus1980_Etc122	Experiment70
8.6	mM 		1.0955832355374795																						mM 	concentration	rat	Trus1980_Etc122	Experiment70
																													
0.0	mM 			2.597273042024757																					mM 	concentration	mouse	Ashcroft1973_Ess23	Experiment71
0.343983699226288	mM 			3.6033977898055243																					mM 	concentration	mouse	Ashcroft1973_Ess23	Experiment71
0.650377871771558	mM 			3.5268941825863234																					mM 	concentration	mouse	Ashcroft1973_Ess23	Experiment71
1.06875002246028	mM 			3.478444098290472																					mM 	concentration	mouse	Ashcroft1973_Ess23	Experiment71
2.00597263798698	mM 			3.6330751166439628																					mM 	concentration	mouse	Ashcroft1973_Ess23	Experiment71
2.80390557338402	mM 			4.290412064125984																					mM 	concentration	mouse	Ashcroft1973_Ess23	Experiment71
3.89263626203421	mM 			3.7048921353277326																					mM 	concentration	mouse	Ashcroft1973_Ess23	Experiment71
5.19576381127613	mM 			4.830689911485033																					mM 	concentration	mouse	Ashcroft1973_Ess23	Experiment71
9.89948574940075	mM 			5.261644830219028																					mM 	concentration	mouse	Ashcroft1973_Ess23	Experiment71
20.0860318612565	mM 			5.677391439114106																					mM 	concentration	mouse	Ashcroft1973_Ess23	Experiment71
																													
0.0	mM 			2.8095197786861865																					mM 	concentration	mouse	Detimary1996_Ess31	Experiment72
3.0	mM 			4.212832953416156																					mM 	concentration	mouse	Detimary1996_Ess31	Experiment72
6.0	mM 			5.101115725874095																					mM 	concentration	mouse	Detimary1996_Ess31	Experiment72
10.0	mM 			5.607465840467383																					mM 	concentration	mouse	Detimary1996_Ess31	Experiment72
15.0	mM 			5.248680616412711																					mM 	concentration	mouse	Detimary1996_Ess31	Experiment72
20.0	mM 			5.4627943791550155																					mM 	concentration	mouse	Detimary1996_Ess31	Experiment72
																													
0.0	mM 			2.4843876707221777																					mM 	concentration	mouse	Detimary1996_Ess36	Experiment73
3.0	mM 			3.4930397886853632																					mM 	concentration	mouse	Detimary1996_Ess36	Experiment73
6.0	mM 			4.581089778254651																					mM 	concentration	mouse	Detimary1996_Ess36	Experiment73
10.0	mM 			5.873246913048455																					mM 	concentration	mouse	Detimary1996_Ess36	Experiment73
15.0	mM 			5.897014129367473																					mM 	concentration	mouse	Detimary1996_Ess36	Experiment73
20.0	mM 			6.126590069908464																					mM 	concentration	mouse	Detimary1996_Ess36	Experiment73
																													
1.0	mM 			2.8207279204420703																					mM 	concentration	rat	Detimary1998_Ess40	Experiment74
10.0	mM 			5.855276679736265																					mM 	concentration	rat	Detimary1998_Ess40	Experiment74
